Number of Parameters,R=0.5,R=0.6,R=0.7,R=0.8,R=0.9,R=1.0,R=1.1,R=1.2,R=1.3,R=1.4,R=1.5,R=1.6,R=1.7,R=1.8,R=1.9,R=2.0,R=2.1,R=2.2,R=2.3,R=2.4,R=2.5
51,0.00022402,0.00027095,0.00035501,0.00047969,0.00066289,0.00093537,0.00145044,0.00221738,0.00342107,0.00380946,0.00454379,0.0056683,0.00429725,0.00598944,0.00690398,0.01035386,0.00890017,0.00664978,0.00616901,0.00566474,0.00728394
52,0.00022266,0.00028932,0.00034026,0.00042216,0.00065727,0.00088064,0.00108476,0.00219831,0.00357434,0.00353057,0.00485725,0.00489346,0.00464156,0.00585561,0.00694628,0.00976919,0.00792651,0.00605628,0.00583209,0.005077,0.0072022
53,0.00021832,0.00023765,0.00052514,0.00045585,0.0006576,0.00104552,0.00103189,0.00214337,0.00266274,0.0035817,0.00429514,0.00432653,0.00358673,0.00510418,0.00639498,0.00938271,0.00898618,0.00857324,0.00846992,0.00445815,0.00723197
54,0.00015799,0.00022425,0.00023164,0.00034209,0.00050013,0.00099293,0.00106953,0.00188364,0.00276309,0.00335989,0.00548472,0.00440322,0.00352905,0.00597042,0.00786318,0.01016855,0.00799319,0.00968169,0.00562652,0.00544543,0.0063634
55,0.00018121,0.00028291,0.00020456,0.00038281,0.00074269,0.00071756,0.00101073,0.00165715,0.00255632,0.00336172,0.00526992,0.00334817,0.0036229,0.00417552,0.00679493,0.00680733,0.0086119,0.00656735,0.00539938,0.00336075,0.0062367
56,0.00011272,0.00023914,0.00016978,0.00034669,0.00050431,0.00062643,0.00123697,0.00182214,0.00232518,0.00361195,0.00391936,0.00358151,0.00486467,0.00456266,0.00498533,0.00638142,0.00742039,0.005109,0.006591,0.00499327,0.00533382
57,0.00015247,0.00017089,0.00012524,0.00028747,0.00037345,0.00056897,0.00080199,0.00167038,0.00209991,0.00269334,0.00364927,0.00331918,0.00421105,0.00361827,0.00617756,0.00536396,0.00680885,0.00546189,0.0048347,0.00494651,0.00522238
58,0.00016059,0.0001476,0.00011187,0.0002239,0.00034649,0.00051602,0.00070745,0.00175324,0.00240214,0.00251355,0.00239273,0.00307045,0.00410602,0.00398243,0.0047796,0.00562106,0.00683773,0.00630638,0.00465973,0.00427399,0.00514767
59,0.00012857,0.00013898,7.988E-05,0.00027215,0.00035221,0.00043069,0.00082799,0.00196227,0.0020341,0.00294639,0.00229717,0.003343,0.00379697,0.00332304,0.00473374,0.00523048,0.00628907,0.00517953,0.00405408,0.00366548,0.00384926
60,0.00011054,0.00011146,7.777E-05,0.00037049,0.00027475,0.00041799,0.000653,0.00104354,0.00212323,0.00163417,0.00247844,0.00269381,0.00387947,0.00427958,0.00386344,0.00507127,0.00656381,0.00520445,0.00367044,0.003089,0.00291168
61,0.00010766,9.702E-05,8.037E-05,0.00025645,0.00029472,0.00041845,0.00067302,0.00106685,0.00184818,0.00152219,0.00211614,0.00247665,0.0026515,0.00396165,0.00377581,0.00515139,0.00404472,0.00437204,0.00305675,0.00398458,0.00252219
62,7.411E-05,8.85E-05,7.806E-05,0.00012274,0.00026258,0.00056331,0.0007786,0.00105369,0.00114584,0.00179559,0.00161585,0.0023808,0.00287703,0.00403126,0.00425153,0.00352433,0.00453073,0.00495577,0.00319938,0.00328846,0.00259003
63,4.908E-05,8.497E-05,6.55E-05,0.00013835,0.00021342,0.00036087,0.00044476,0.00101374,0.00103502,0.00177523,0.0016144,0.00262679,0.00265728,0.00311872,0.00413641,0.00313543,0.00422438,0.00369444,0.00392009,0.00327683,0.00290626
64,4.18E-05,8.634E-05,5.144E-05,0.00011584,0.00016621,0.00024462,0.00048348,0.00101851,0.00108762,0.00183005,0.00124116,0.0033137,0.00323937,0.00278613,0.00346947,0.00270052,0.00394435,0.00430732,0.00317617,0.00366384,0.00333817
65,3.74E-05,4.614E-05,4.596E-05,8.365E-05,0.00016083,0.00024393,0.00038917,0.0008618,0.00097712,0.00141003,0.00134768,0.00341277,0.00393963,0.00279538,0.00363044,0.0028126,0.00335612,0.00313029,0.00285632,0.00290758,0.00304682
66,2.345E-05,4.17E-05,4.972E-05,8.158E-05,0.00022912,0.00020277,0.00038674,0.00076571,0.00102623,0.00113183,0.0010144,0.00214347,0.00316798,0.0027558,0.00405086,0.00254678,0.00317611,0.00412994,0.00530167,0.00220509,0.00198294
67,2.19E-05,3.713E-05,4.281E-05,9.792E-05,0.00014732,0.00017933,0.00034874,0.00074691,0.00101925,0.00116166,0.0014879,0.00212979,0.00250642,0.00213564,0.00314004,0.00254462,0.00298162,0.00279025,0.00237017,0.00288362,0.00189411
68,2.949E-05,3.641E-05,3.859E-05,7.507E-05,0.00013569,0.00013013,0.00036093,0.00081956,0.00099278,0.00072049,0.00120848,0.00160775,0.00334708,0.00173021,0.00190306,0.00221044,0.00365435,0.00240996,0.00263501,0.00193751,0.00172849
69,1.966E-05,3.294E-05,4.072E-05,7.048E-05,9.491E-05,0.0001424,0.00027612,0.00047403,0.00061287,0.00135682,0.00125174,0.00130708,0.00185187,0.00186283,0.00226654,0.00280806,0.00289327,0.0023355,0.00240317,0.00196875,0.00152922
70,1.405E-05,3.591E-05,2.826E-05,6.379E-05,8.742E-05,0.00012848,0.0002121,0.00049366,0.00048372,0.00076383,0.00110907,0.00144497,0.0017626,0.00193552,0.00202701,0.00331664,0.00230684,0.0026696,0.00301532,0.00195112,0.00135377
71,1.181E-05,4.233E-05,2.776E-05,5.191E-05,8.764E-05,0.00012885,0.00016884,0.00038285,0.00056164,0.00071782,0.00102927,0.0012635,0.00159648,0.00178042,0.00185224,0.00205021,0.00206437,0.00253618,0.00213519,0.00189437,0.00121534
72,1.051E-05,3.128E-05,2.817E-05,8.074E-05,0.00010495,0.00011701,0.00018408,0.00029396,0.00053878,0.00060822,0.00130353,0.0014502,0.00143145,0.00140772,0.00163747,0.00250488,0.00176708,0.00291268,0.00193951,0.00191925,0.00142186
73,1.143E-05,3.271E-05,2.333E-05,4.945E-05,6.647E-05,0.00013433,0.00014608,0.00028498,0.00034344,0.00081536,0.00090544,0.00095319,0.00190519,0.00140333,0.0014128,0.0024635,0.00212109,0.0019594,0.00167921,0.00189685,0.00130598
74,9.54E-06,2.784E-05,1.422E-05,3.261E-05,5.657E-05,0.00011862,0.00012537,0.00020756,0.00027176,0.00050036,0.00077765,0.00099559,0.00149303,0.00140001,0.00124281,0.00186183,0.00153368,0.00162804,0.00152062,0.00224896,0.00120702
75,1.264E-05,3.183E-05,1.4E-05,3.265E-05,4.654E-05,8.836E-05,0.00011512,0.00019171,0.00028088,0.00075082,0.00073823,0.00098934,0.00151213,0.00119274,0.00106403,0.00168468,0.00211262,0.00207214,0.00214736,0.00168898,0.00117045
76,9.04E-06,2.185E-05,1.423E-05,3.969E-05,3.739E-05,0.00012867,0.000141,0.00015649,0.00027083,0.00044351,0.00118584,0.00063949,0.00137798,0.00126793,0.00121398,0.00236644,0.00166866,0.00266731,0.00165494,0.00155437,0.00119471
77,8.82E-06,2.573E-05,1.423E-05,2.169E-05,3.661E-05,8.212E-05,0.00015755,0.00018538,0.00028418,0.00038078,0.00092174,0.00049752,0.00111698,0.00123514,0.00116177,0.00183127,0.0013131,0.0022914,0.00143979,0.0017228,0.00107307
