Number of Parameters,R=0.5,R=0.6,R=0.7,R=0.8,R=0.9,R=1.0,R=1.1,R=1.2,R=1.3,R=1.4,R=1.5,R=1.6,R=1.7,R=1.8,R=1.9,R=2.0,R=2.1,R=2.2,R=2.3,R=2.4,R=2.5
34,0.00835103,0.03868469,0.04580567,0.04821516,0.0476216,0.04804359,0.0508632,0.04633631,0.05462023,0.06981329,0.08068607,0.08988755,0.13071118,0.12087898,0.10352402,0.09655225,0.03601638,0.04909406,0.03946821,0.02914276,0.00508326
35,0.00589391,0.0104708,0.01302464,0.01645491,0.02076968,0.02673982,0.03474896,0.03848947,0.0468239,0.06661576,0.06323382,0.07292382,0.1360645,0.0928118,0.10734756,0.10596091,0.04633611,0.04330085,0.03459077,0.02534755,0.00559781
36,0.00460714,0.00733867,0.00938095,0.0127125,0.01713701,0.02343884,0.03257848,0.03274802,0.04335078,0.06111547,0.06262894,0.07529004,0.08404603,0.10235557,0.08150321,0.07427133,0.04341764,0.05413104,0.0451792,0.03192387,0.00528606
37,0.00444048,0.00568064,0.00760665,0.01083474,0.01538308,0.02118452,0.02893784,0.02939769,0.03975228,0.06601347,0.06743177,0.07520821,0.07892401,0.07971559,0.08950831,0.08146692,0.05683469,0.05784365,0.04609125,0.0380674,0.00551408
38,0.00396598,0.00504489,0.00704551,0.00939948,0.01328244,0.01899556,0.02485193,0.02650486,0.0373928,0.05073804,0.06987943,0.08101281,0.06711093,0.08285034,0.07433213,0.06961082,0.0459023,0.06643687,0.05431272,0.05350715,0.00591184
39,0.00378922,0.00483757,0.00588205,0.00773457,0.01175769,0.01577615,0.02137882,0.02118157,0.03430854,0.0512171,0.05143509,0.06021947,0.06766876,0.06901928,0.0750563,0.07644508,0.06162239,0.05661624,0.04019656,0.03286154,0.01016016
40,0.0031849,0.00405126,0.00487448,0.00718619,0.009548,0.01431503,0.01950381,0.02054574,0.03455377,0.04316082,0.05146257,0.06096404,0.06188279,0.07150879,0.07591791,0.0723882,0.05486706,0.05339273,0.04052885,0.03531988,0.01132751
41,0.00254269,0.00340868,0.00417898,0.0062369,0.0080805,0.01100727,0.01547441,0.02046434,0.03843227,0.04259642,0.04460872,0.05214067,0.057357,0.05773125,0.06625411,0.06877008,0.05892666,0.05895082,0.04626761,0.03401381,0.01645139
42,0.00241398,0.00310518,0.00344685,0.0055216,0.00789536,0.01060417,0.01485504,0.01947688,0.0267108,0.03857519,0.04519531,0.05338489,0.058197,0.06105333,0.06463093,0.05735574,0.05210392,0.04754824,0.03712899,0.03936737,0.0387302
43,0.00227893,0.00302891,0.00323494,0.00429558,0.0065883,0.00842085,0.01164435,0.01971149,0.02489969,0.03636122,0.04128293,0.04917835,0.05089439,0.05333892,0.06240092,0.05254375,0.0593714,0.04866106,0.04014405,0.03192257,0.0359141
44,0.00215591,0.00246282,0.00257101,0.00395481,0.00552938,0.00726071,0.01100799,0.01761035,0.02494356,0.02979427,0.03745862,0.04725088,0.04103638,0.05451188,0.06537922,0.05387557,0.04829308,0.05129737,0.04650063,0.03349468,0.03562955
45,0.00154119,0.00220182,0.00226226,0.00331704,0.00437351,0.00655226,0.00984007,0.01563765,0.01890863,0.0233662,0.03099205,0.03930337,0.03883165,0.05008458,0.05627255,0.05553838,0.0459212,0.04831213,0.04672602,0.03630396,0.03108741
46,0.00129019,0.0019537,0.00215943,0.00249256,0.00323533,0.00513087,0.00857425,0.01649568,0.01835347,0.02007439,0.02797966,0.03279468,0.03189363,0.05452614,0.06413833,0.05219574,0.04996083,0.04890807,0.04676415,0.04406743,0.02384545
47,0.00110117,0.00153314,0.00195682,0.00227069,0.00294459,0.00480394,0.00757963,0.01336902,0.01603173,0.02038263,0.02831984,0.02725106,0.02773982,0.02911934,0.03464207,0.04931737,0.04323331,0.0420575,0.04307875,0.03958995,0.0253933
48,0.00100699,0.00122693,0.00171798,0.00210165,0.00267254,0.00449916,0.00676467,0.01349164,0.01675853,0.01904614,0.02509314,0.0254677,0.0275167,0.0307362,0.03777552,0.04829059,0.04869969,0.04036444,0.03924943,0.02940591,0.02499157
49,0.00091874,0.00115524,0.00145634,0.00192806,0.00266564,0.00404841,0.00632455,0.01206791,0.01602792,0.01842559,0.02242632,0.02427562,0.02694958,0.02980104,0.03490358,0.04385756,0.04394376,0.04163111,0.03829322,0.02981148,0.02678361
50,0.00077483,0.0011204,0.00128468,0.00194858,0.00245935,0.0036724,0.00600354,0.01035358,0.01615751,0.01810737,0.02192409,0.02401648,0.02309425,0.02918758,0.03238602,0.04745421,0.04472812,0.0368712,0.03451626,0.02910369,0.02822797
51,0.0007391,0.00103997,0.00123107,0.00188028,0.00248478,0.00346628,0.00519833,0.00901105,0.01555335,0.01658098,0.02106383,0.02349523,0.01979091,0.02687025,0.033279,0.04408756,0.04182507,0.03200898,0.03072732,0.02707469,0.02768594
52,0.00072527,0.001011,0.00122328,0.0017898,0.00233228,0.0031647,0.00502295,0.00869959,0.01529045,0.01616308,0.02011932,0.02183983,0.01868642,0.02472892,0.03068303,0.04565513,0.04188955,0.02788917,0.03157194,0.02397512,0.03050331
53,0.00071803,0.0009019,0.00123565,0.00172145,0.00212588,0.00320892,0.00424049,0.00853004,0.01235871,0.01520659,0.019316,0.01743562,0.01675462,0.0225238,0.03010489,0.042877,0.04003418,0.02795684,0.02848874,0.02241436,0.02902587
54,0.00068619,0.00090057,0.00079833,0.00150671,0.00193396,0.0028013,0.00442013,0.00821621,0.01095469,0.01490985,0.01698438,0.01616111,0.01678634,0.02210246,0.03015225,0.03444399,0.03981448,0.02933052,0.02514697,0.02187947,0.0263416
55,0.0006388,0.00073179,0.00076333,0.00114363,0.00176501,0.00262061,0.00399448,0.00793454,0.01061017,0.01382779,0.01638788,0.01553632,0.01672981,0.0198596,0.02902428,0.02953207,0.03836217,0.03007049,0.02313013,0.01787322,0.02307364
56,0.00055232,0.00065614,0.00074312,0.0010743,0.0013695,0.00240854,0.00361242,0.00750679,0.00963882,0.01248312,0.01446283,0.01530595,0.01977747,0.01955116,0.02469639,0.02611259,0.03178989,0.02516875,0.02329961,0.0199891,0.02328754
57,0.00055632,0.00061688,0.00053544,0.00099048,0.00125838,0.00221135,0.00319015,0.00660739,0.00868119,0.01216901,0.01458943,0.01564952,0.01570783,0.01917396,0.0242016,0.02589422,0.02957682,0.02303991,0.02365214,0.01839678,0.02143984
58,0.00052994,0.00057174,0.00040052,0.00087555,0.00115748,0.00218792,0.00284059,0.00600304,0.00817075,0.01250351,0.01172755,0.01575822,0.01603407,0.01838303,0.02091868,0.02315583,0.02348004,0.02415923,0.01951532,0.01669234,0.02305447
59,0.00044287,0.00048045,0.00037304,0.00088331,0.00101752,0.00195372,0.00279605,0.00559995,0.00785862,0.01114185,0.01111709,0.01552108,0.01532085,0.01566389,0.02110911,0.02287408,0.02307484,0.02204678,0.02092712,0.01702496,0.01507844
60,0.00035572,0.00046367,0.000318,0.00070156,0.00095769,0.00180384,0.00249888,0.00524377,0.00783936,0.00862008,0.0101935,0.01326579,0.01436662,0.01637081,0.02084678,0.02076347,0.02298336,0.01958961,0.0173553,0.01161795,0.01406914
61,0.00031846,0.00036111,0.00032923,0.00054022,0.00091438,0.00175925,0.00247621,0.00490013,0.00716726,0.0077382,0.00909207,0.01300453,0.01346297,0.01574219,0.02068251,0.0203597,0.02185671,0.01929,0.01612126,0.01126596,0.01325233
62,0.00023269,0.00032444,0.00026379,0.00047448,0.00083206,0.00165471,0.00242388,0.00466196,0.00542188,0.00775987,0.00746078,0.01300805,0.01295778,0.01579734,0.02054672,0.0166393,0.0178973,0.01932184,0.0157767,0.01084291,0.01281738
63,0.00019358,0.00029658,0.00022455,0.00046988,0.00078864,0.001271,0.00227641,0.00484444,0.00519312,0.00697082,0.00752085,0.01305091,0.01292569,0.01175944,0.01694077,0.01510733,0.0173874,0.01737324,0.01593717,0.01313966,0.01335804
64,0.00018187,0.00025041,0.00019041,0.00041964,0.00069064,0.00103408,0.00218075,0.00382692,0.00501472,0.0069449,0.00680287,0.01206612,0.01210306,0.01187809,0.01668442,0.01325828,0.01637109,0.01600716,0.01485487,0.01378763,0.01416897
65,0.00015257,0.00019453,0.00015684,0.0003792,0.00066342,0.00096591,0.00178699,0.00366321,0.00439301,0.00563056,0.00667683,0.01045271,0.01387537,0.01134734,0.01648251,0.01265979,0.01543264,0.01372088,0.0142639,0.01140522,0.01274188
66,0.00010815,0.00015966,0.00016795,0.00037106,0.00066817,0.00085403,0.00144408,0.0032614,0.00418156,0.0050311,0.00589934,0.00977547,0.01082575,0.01168042,0.01674244,0.01300442,0.01430309,0.0150834,0.01715134,0.01262745,0.00948832
67,9.891E-05,0.00014973,0.00016093,0.00037038,0.00057543,0.00075726,0.00136812,0.00274774,0.00390959,0.00445013,0.00639025,0.00985074,0.01145703,0.01042044,0.01100798,0.01338527,0.01253306,0.0134592,0.01238331,0.01105097,0.00875457
68,9.715E-05,0.00014597,0.00015674,0.00029864,0.00048999,0.00068517,0.00130109,0.00264945,0.00284166,0.00391095,0.00574988,0.00745813,0.01200978,0.00936393,0.01005246,0.0138055,0.0135639,0.011837,0.01219914,0.01036086,0.00859035
69,6.195E-05,0.00012876,0.0001666,0.00027663,0.00044015,0.00064125,0.00115552,0.00190698,0.00249794,0.00407105,0.00525366,0.00720061,0.00840554,0.00977318,0.01015415,0.01383381,0.01082706,0.01207893,0.0139595,0.01040883,0.0076616
70,5.344E-05,0.00012023,0.00013521,0.00027861,0.00038446,0.00060192,0.00078566,0.00181745,0.00229933,0.00363459,0.00497675,0.00677002,0.00786703,0.00936607,0.00861303,0.01112742,0.00936012,0.01254853,0.01355695,0.00854601,0.00709855
71,5.135E-05,0.00012643,0.00011916,0.00023428,0.00033053,0.00058647,0.00079998,0.00146908,0.00208244,0.00298081,0.00493207,0.00606777,0.00788506,0.00844396,0.00884939,0.01140851,0.0097532,0.01256679,0.01098699,0.00865461,0.00594226
72,4.881E-05,0.00012648,9.389E-05,0.00023129,0.00029996,0.0005025,0.00069974,0.00116745,0.00171261,0.00295821,0.00478359,0.00520899,0.00771344,0.00678515,0.00753273,0.01087903,0.0090784,0.01184909,0.00964839,0.00915929,0.00575458
73,4.839E-05,0.00010496,8.304E-05,0.00016874,0.00029736,0.00048843,0.00072135,0.00110923,0.0017053,0.0028746,0.00415072,0.0044121,0.00745721,0.0066661,0.00729498,0.00943754,0.00986338,0.01034103,0.0080929,0.00856085,0.00566987
74,4.224E-05,0.00010493,6.663E-05,0.00015451,0.00024624,0.00037151,0.00064001,0.00096471,0.00134911,0.00231314,0.00426762,0.00426198,0.00641246,0.00647009,0.00656227,0.0089837,0.00938992,0.00902591,0.00788899,0.00812619,0.0060031
