Number of Parameters,R=0.5,R=0.6,R=0.7,R=0.8,R=0.9,R=1.0,R=1.1,R=1.2,R=1.3,R=1.4,R=1.5,R=1.6,R=1.7,R=1.8,R=1.9,R=2.0,R=2.1,R=2.2,R=2.3,R=2.4,R=2.5
20,1.24436979862336,1.57557768656264,2.0316886381698,2.54380498968125,3.22149341267473,3.95734064469727,5.05929825489475,6.76139200514735,7.77666967925099,8.9508914514903,10.2355596254211,17.9743593428639,18.9254034398787,14.4589577449329,12.5185497133709,10.6289813020494,7.62362729258497,6.20611024224156,4.91950000078933,3.99842657140994,2.02050488512034
21,1.01650744561126,1.39072122248985,1.81544378943414,2.28238335668856,2.69355016333072,3.33400820467076,3.91803774184104,6.04752763818409,6.91000816343205,7.92709425421199,9.05751625892331,14.5695634714135,15.6736240985446,14.2258988937591,12.3624231527053,10.5209240856968,7.55723829582984,6.12986082631338,4.91271394700676,3.9932298737002,2.01969468185878
22,0.745151845508163,1.19678780555933,1.54017841987727,1.94533616691412,2.37950258240046,2.70930044470234,3.20343072118532,4.42179374561962,5.30457037398644,6.36961034033669,7.58750284773313,12.5572844918909,13.8423394378856,13.9477434114357,12.1490277409109,10.46668561339,7.36313719944202,6.11439015900536,4.89739588887569,3.97600243441626,2.0126649113499
23,0.629928352631422,0.85938947060147,1.23409292365354,1.67765534443708,1.96664214195609,2.25986723049419,2.64872970686174,3.19217562966174,3.92638205418321,4.85115308937539,5.96612321944822,8.6345233580332,9.71584656317589,13.7513627437832,12.0243151942992,10.1603448078201,6.76514836534885,6.0763642277041,4.89060147917005,3.97224512165461,2.01212302195188
24,0.515461009932111,0.720152667891261,1.01526003793502,1.36925949381799,1.58172184781585,1.80672063800949,2.14088228140732,2.78808246777253,3.39864470781284,4.15385984271201,5.05305775705104,7.86705608975652,9.04563429934259,13.2577960729368,11.6279569835968,10.1139167190494,6.04818732313202,6.0006223004481,4.81595716981589,3.91653799356824,2.0059189617314
25,0.399492294337093,0.539198103669186,0.744565701594641,1.03867959027646,1.33071976234883,1.50553297970027,1.73716846311834,2.26692151844613,2.87473617394843,3.65661817523828,4.64980791651872,5.96761853185252,7.28075501344937,13.0038048304071,11.4863660520209,9.94305473952291,6.00568498210205,5.99293437486069,4.76363248127193,3.91307982549161,2.0051232734038
26,0.337156109195219,0.416233043767837,0.586372222763419,0.799283452234247,1.08573229936344,1.26224080463337,1.44482382444899,1.77417173447003,2.28629321273832,2.99244263165115,3.88846637387917,4.96560862986687,6.08077850013763,12.2731274054084,10.947142788966,9.54282559031325,5.98235291030214,5.91765490427705,4.75982666386987,3.83890670461106,1.99943480551999
27,0.278750823023468,0.353984506084941,0.499829489220744,0.624909544593986,0.746030538348483,1.00124791722042,1.21017432264927,1.56241361737503,2.10358955412526,2.78203589373668,3.6240379068668,4.64041994083938,5.69901051189502,11.2524370559483,10.8471364744579,9.48774370754325,5.84074679172955,5.90473687736806,4.70458372940356,3.83721558273147,1.99855609887434
28,0.165578843569513,0.316311928802208,0.40307538961482,0.465477431931349,0.552846923076643,0.691634379681347,0.921464973656615,1.28823082807028,1.84788765219194,2.56893953752052,3.36195664665722,4.30568963407454,5.30146069735327,10.8009121733249,10.4192525039759,9.16484458538746,5.80383247807799,5.78321956837808,4.69660242218341,3.79292621684092,1.99495761830638
29,0.087727905404545,0.234273157697259,0.342799228186331,0.401931483437908,0.48268377997655,0.611699309496038,0.8277550932335,1.1761882706075,1.65750208016477,2.39786719279632,3.22058571569475,3.99954964237238,4.9766568652291,8.76033097171815,8.60377231143184,8.07160297613815,5.74109708362417,5.67812557158993,4.57388883063936,3.69679894324913,1.98584086688208
