Number of Parameters,R=0.5,R=0.6,R=0.7,R=0.8,R=0.9,R=1.0,R=1.1,R=1.2,R=1.3,R=1.4,R=1.5,R=1.6,R=1.7,R=1.8,R=1.9,R=2.0,R=2.1,R=2.2,R=2.3,R=2.4,R=2.5
34,0.00086743,0.00071457,0.00063078,0.00071158,0.00121096,0.00138356,0.00150282,0.00195503,0.0028071,0.0042281,0.00643921,0.00929639,0.00774659,0.00661395,0.01022766,0.01120403,0.01388755,0.01115753,0.00936799,0.00341955,0.00309833
35,0.00096211,0.0006669,0.00059642,0.00063356,0.00078833,0.00107101,0.00127324,0.00177198,0.00268273,0.00413967,0.0059082,0.00724977,0.0062016,0.00705886,0.00729186,0.01006619,0.01243384,0.00966687,0.00632457,0.00253244,0.00229965
36,0.00089601,0.00054869,0.00051836,0.00049775,0.00070453,0.00090392,0.00101286,0.00134177,0.00201054,0.00318635,0.0050073,0.00652955,0.00560558,0.00598381,0.00676332,0.00822729,0.00890579,0.00697682,0.00435119,0.00095395,0.00064379
37,0.00060166,0.00049167,0.00050972,0.00061908,0.0008163,0.00077383,0.00092861,0.00118629,0.00179847,0.00233451,0.00363043,0.00616479,0.00398418,0.00558336,0.00601779,0.00766083,0.00448089,0.0035247,0.00701525,0.0008436,0.00053433
38,0.00052137,0.00041868,0.00053362,0.0006137,0.00070644,0.00074172,0.00078704,0.00093274,0.00126582,0.00194596,0.00290357,0.00592183,0.00329868,0.0046636,0.00497464,0.00526594,0.00384163,0.0028328,0.0041963,0.00067433,0.00034702
39,0.00030565,0.00046393,0.00064867,0.00076549,0.00086708,0.00073729,0.00085674,0.00088474,0.00104612,0.00148635,0.00193634,0.00487847,0.00349684,0.0037433,0.00439079,0.00323034,0.0034313,0.00223725,0.00372594,0.00038521,0.00022962
40,0.00048997,0.00036094,0.00036825,0.00067447,0.00063361,0.00050407,0.00074349,0.00080525,0.00078743,0.00106714,0.00127255,0.00339095,0.00294451,0.00328298,0.00336826,0.00258021,0.00299722,0.00172924,0.00423222,0.00040423,0.0001861
41,0.00021452,0.00032263,0.00034376,0.00038124,0.00054511,0.00043687,0.00058889,0.00056512,0.00054474,0.00072857,0.00104519,0.00235218,0.00277381,0.0027855,0.00314753,0.00222631,0.00227338,0.00152154,0.00140617,0.0005532,0.00017806
42,0.00018551,0.00026872,0.00026753,0.00035861,0.00041065,0.00070937,0.00039271,0.0004156,0.00043178,0.00056498,0.00086174,0.00207406,0.00251826,0.00265447,0.00268168,0.00207783,0.00188314,0.00137584,0.00105894,0.00024365,0.00014165
43,0.0001659,0.00028973,0.00020696,0.00030764,0.00038358,0.00047308,0.0002757,0.00037432,0.00033509,0.00042427,0.00063604,0.00175817,0.00211024,0.00258247,0.00249972,0.00181135,0.0015744,0.00080492,0.00083809,0.00019688,9.665E-05
44,0.00014935,0.00019917,0.00018006,0.00023694,0.00035593,0.0003871,0.00025655,0.00027816,0.00029358,0.00033313,0.00068545,0.0012271,0.00199508,0.00207188,0.00225778,0.00109215,0.00140309,0.00071268,0.00065693,0.00018904,9.382E-05
45,0.00014295,0.00017297,0.00015883,0.00018899,0.00032201,0.00034204,0.00023884,0.00021704,0.00026545,0.00027396,0.00051044,0.00091082,0.00112917,0.00202948,0.0017278,0.00082773,0.00118398,0.00046193,0.00043007,0.00021518,8.434E-05
46,0.00010807,8.477E-05,0.00013812,0.00011263,0.00023987,0.00017969,0.00020609,0.00017772,0.00021875,0.00026238,0.00047633,0.00082414,0.00105121,0.00181521,0.00148971,0.00107006,0.00036495,0.00025768,0.00027107,0.00018028,5.446E-05
47,0.00011612,7.506E-05,0.00011105,0.00010066,0.00021272,0.00015708,0.00018577,0.00016201,0.00019676,0.00032096,0.00042503,0.00063171,0.00096252,0.00168893,0.0009642,0.00080941,0.00049323,0.00040279,0.00035697,0.00014793,8.07E-05
48,0.00011367,6.777E-05,7.847E-05,5.898E-05,9.437E-05,0.00018404,0.00015717,0.0001544,0.0002041,0.00020484,0.00037336,0.00053461,0.00084195,0.00163534,0.00059739,0.00035794,0.00038886,0.00021297,0.00024911,0.0001349,3.713E-05
