Number of Parameters,R=0.5,R=0.6,R=0.7,R=0.8,R=0.9,R=1.0,R=1.1,R=1.2,R=1.3,R=1.4,R=1.5,R=1.6,R=1.7,R=1.8,R=1.9,R=2.0,R=2.1,R=2.2,R=2.3,R=2.4,R=2.5
61,7.17244156547281E-07,3.21661574586685E-06,-7.67444960700914E-07,2.77798738999024E-06,2.30359001367475E-06,1.07944269099214E-05,5.71347930140576E-06,9.88516434308195E-06,4.55352638522299E-05,2.17545166964861E-05,3.32115939982991E-05,2.83653348147972E-05,9.20161846281609E-05,5.98719830545491E-05,3.11652836632525E-05,4.90373963930502E-05,9.24071224430278E-06,3.22226383794089E-06,5.78438643245249E-06,3.56237439754992E-06,-1.07555189458708E-06
62,7.17244156547281E-07,3.21661574586685E-06,-7.67444960700914E-07,2.77798738999024E-06,-1.24309635390674E-06,7.28350844809711E-06,4.48983414282012E-06,9.61031505180898E-06,4.43260515920407E-05,1.84531873722804E-05,2.60485681489797E-05,1.86677959215054E-05,8.06777061130859E-05,5.23475116382599E-05,2.43938231945862E-05,1.03990961345524E-05,5.57166169526724E-06,1.7978165774224E-06,5.40474368705191E-06,3.54480367022347E-06,-1.16967895971598E-06
63,7.17244156547281E-07,,-7.67444960700914E-07,2.53890600447448E-06,-1.36483408425647E-06,7.24146599916153E-06,4.35303706296963E-06,9.37374392943724E-06,3.75721618507008E-05,1.64771577171763E-05,2.52070771136204E-05,1.65122980571475E-05,5.37656843556E-05,4.47025565085113E-05,1.92563991240569E-05,7.41277585319722E-06,3.87863968665414E-06,1.43825370781059E-06,4.00351301657054E-06,3.54480367022347E-06,-2.07894041187373E-06
64,7.17244156547281E-07,,-7.67444960700914E-07,2.27597934845392E-06,-1.56689243244301E-06,6.91767103530694E-06,3.81714381303411E-06,6.56312646261981E-06,3.25916147358107E-05,1.59682475666756E-05,2.230609797639E-05,1.09682481417828E-05,5.18473862940816E-05,3.82592839642015E-05,1.76280108179938E-05,6.92143531534129E-06,1.69741496911513E-06,9.16164675803799E-07,1.84111415792998E-06,3.54480367022347E-06,-2.07894041187373E-06
65,7.17244156547281E-07,,-7.96937208598081E-07,2.27597934845392E-06,-1.56689243244301E-06,6.91767103530694E-06,3.77258998627283E-06,5.1587590778901E-06,3.1187247351081E-05,1.5764306521131E-05,2.08728647948675E-05,7.55584859090774E-06,3.74278339814182E-05,3.16879991463637E-05,1.56450790539253E-05,4.13968364531669E-06,1.69176799172277E-06,8.84789730548619E-08,8.42745052249683E-07,3.38165105672417E-06,
66,7.17244156547281E-07,,-7.96937208598081E-07,,-1.56689243244301E-06,6.10379066516842E-06,3.77258998627283E-06,4.56889962908491E-06,2.92061982843705E-05,1.49818010962477E-05,1.88629510460459E-05,6.83985956593247E-06,2.50200792296162E-05,2.51436974279606E-05,1.39037389385166E-05,3.25301233209174E-06,7.77484898595304E-07,-7.15358115144227E-08,2.41590533978098E-07,3.22289140372689E-06,
67,7.17244156547281E-07,,-7.96937208598081E-07,,-1.56689243244301E-06,5.3583082776143E-06,3.77258998627283E-06,3.64646041010275E-06,2.57410876661979E-05,1.49108928505193E-05,1.788089753612E-05,5.13679761942498E-06,1.65825798517716E-05,2.25545917340142E-05,1.30779359331257E-05,2.66503558064457E-06,-1.22991747240064E-07,-1.53111560923236E-07,-6.65160655035635E-07,3.22289140372689E-06,
68,7.17244156547281E-07,,-7.96937208598081E-07,,-1.56689243244301E-06,4.56890074376659E-06,3.77258998627283E-06,3.37851322779414E-06,1.63522832725782E-05,1.32894066534206E-05,1.21981667288651E-05,3.87989481822615E-06,1.14508027586346E-05,2.15468102562255E-05,1.26788397630406E-05,2.09086304712613E-06,-1.22991747240064E-07,-1.53111560923236E-07,-6.65160655035635E-07,3.22289140372689E-06,
69,7.17244156547281E-07,,-7.96937208598081E-07,,-1.56689243244301E-06,4.51995507118497E-06,3.77258998627283E-06,2.66942742646492E-06,1.29743976105701E-05,5.23970837619459E-06,1.03601903998651E-05,3.42243948876941E-06,8.95456788356341E-06,1.541666517209E-05,1.17137294146552E-05,1.99171657039088E-06,-1.22991747240064E-07,-6.30646766168752E-07,-9.19302504733821E-07,3.22289140372689E-06,
70,7.17244156547281E-07,,-7.96937208598081E-07,,-1.56689243244301E-06,4.35931272082968E-06,3.77258998627283E-06,1.3322028927476E-06,1.15945030621312E-05,2.85015076729067E-06,9.18172663382677E-06,2.91478446984073E-06,6.9942273731094E-06,1.38748731417238E-05,1.13227904851065E-05,1.57881506769542E-06,-4.26079269519875E-07,-7.90662665419717E-07,-9.19302504733821E-07,3.22289140372689E-06,
71,7.17244156547281E-07,,-7.96937208598081E-07,,-1.56689243244301E-06,3.67909160161162E-06,2.67570308432497E-06,1.3322028927476E-06,8.72866426487207E-06,2.84952320150467E-06,8.75439223273489E-06,2.32492502103554E-06,5.36395636968834E-06,5.82768512764176E-06,8.55986355929872E-06,1.39809284155135E-06,-4.26079269519875E-07,-7.90662665419717E-07,,3.22289140372689E-06,
72,7.17244156547281E-07,,-7.96937208598081E-07,,-1.56689243244301E-06,3.56425709490793E-06,2.67570308432497E-06,1.3322028927476E-06,7.09274628405865E-06,2.1347893081014E-06,8.15135501710529E-06,1.55999032347864E-06,4.78664712192156E-06,5.22276521465415E-06,7.06199778990779E-06,1.22239002701363E-06,-4.26079269519875E-07,-8.96083685333338E-07,,3.22289140372689E-06,
73,7.17244156547281E-07,,-7.96937208598081E-07,,-1.56689243244301E-06,3.40298717876664E-06,2.67570308432497E-06,1.3322028927476E-06,4.23130044730158E-06,1.99987492560894E-06,6.46649024902857E-06,2.10216703404598E-07,4.19113958104234E-06,5.22276521465415E-06,6.38240423647574E-06,1.05484445301229E-06,-7.19125739223614E-07,-8.96083685333338E-07,,3.22289140372689E-06,
74,1.09813980415652E-07,,-7.96937208598081E-07,,-1.56689243244301E-06,3.35153124304099E-06,2.67570308432497E-06,1.3322028927476E-06,3.04467944072684E-06,1.73945853273239E-06,6.09312204680634E-06,2.10216703404598E-07,2.25338920952112E-06,5.22276521465415E-06,3.17833757696562E-06,1.05484445301229E-06,-7.19125739223614E-07,,,2.66817229489291E-06,
