# n_iter -- energy -- index_op 
144 	  -3.23502963 	 [1190] 
145 	  -3.23503257 	 [314] 
146 	  -3.23504146 	 [2002] 
147 	  -3.23504714 	 [1296] 
148 	  -3.23505375 	 [1899] 
149 	  -3.23505464 	 [685] 
150 	  -3.23505650 	 [1868] 
151 	  -3.23505734 	 [441] 
152 	  -3.23506384 	 [437] 
153 	  -3.23506832 	 [1067] 
154 	  -3.23506913 	 [1174] 
155 	  -3.23507315 	 [1178] 
156 	  -3.23507885 	 [1263] 
157 	  -3.23508967 	 [1782] 
158 	  -3.23509195 	 [124] 
159 	  -3.23511116 	 [131] 
160 	  -3.23511535 	 [401] 
161 	  -3.23511851 	 [1917] 
162 	  -3.23512102 	 [738] 
163 	  -3.23512408 	 [761] 
164 	  -3.23512750 	 [1591] 
165 	  -3.23512957 	 [281] 
166 	  -3.23513052 	 [1757] 
167 	  -3.23513917 	 [734] 
168 	  -3.23514358 	 [705] 
169 	  -3.23514535 	 [4] 
170 	  -3.23516494 	 [1374] 
171 	  -3.23517912 	 [374] 
172 	  -3.23518010 	 [666] 
173 	  -3.23518087 	 [337] 
174 	  -3.23518158 	 [179] 
175 	  -3.23518206 	 [2024] 
176 	  -3.23518480 	 [2062] 
177 	  -3.23518579 	 [1504] 
178 	  -3.23519173 	 [1557] 
179 	  -3.23519454 	 [178] 
180 	  -3.23519570 	 [951] 
181 	  -3.23519882 	 [955] 
182 	  -3.23519940 	 [82] 
183 	  -3.23520557 	 [336] 
184 	  -3.23520666 	 [823] 
185 	  -3.23520738 	 [1551] 
186 	  -3.23520796 	 [1197] 
187 	  -3.23521045 	 [1201] 
188 	  -3.23521384 	 [1167] 
189 	  -3.23521463 	 [683] 
190 	  -3.23521547 	 [423] 
191 	  -3.23522867 	 [424] 
192 	  -3.23523089 	 [530] 
193 	  -3.23523271 	 [78] 
194 	  -3.23524195 	 [1118] 
195 	  -3.23525324 	 [759] 
196 	  -3.23525399 	 [1729] 
197 	  -3.23525451 	 [412] 
198 	  -3.23525853 	 [416] 
199 	  -3.23527009 	 [1346] 
